partnership_id,parent_id,analyst,new_or_legacy,primary_mission,sub_mission,partnership_year,partnership_type,level_of_commitment,relationship_type,business_model,mission_type,partnership_strength,asset_name,cocom_1,country_1,org_type_1,organization_1,company_1,cocom_2,country_2,org_type_2,organization_2,company_2,link_1,link_2,link_3
0-G Launch/PD AeroSpace Agreement,0-G Launch/PD AeroSpace Agreement,,Legacy,Assured Access to Space,Launch,2023,"Framework Agreements, Meetings, and Consortia",High,,B2B,Commercial,3.0,,USINDOPACOM,Japan,Industry,,PD AeroSpace,USNORTHCOM,United States,Industry,,0-G Launch,https://www.prnewswire.com/news-releases/0-g-launch-and-pd-aerospace-ink-agreement-for-high-precision-zero-gravity-flight-services-from-japan-301740008.html?tc=eml_cleartime,,
114AI-AFRL SDA Technology Collaboration 2023,114AI-AFRL SDA Technology Collaboration 2023,AS,New,SDA & Combat Power,Space Domain Awareness,2023,Co-Production,Low,,B2G,Commercial,6.0,,USINDOPACOM,India,Industry,,114AI,USNORTHCOM,United States,Government,Air Force Research Laboratory (AFRL),,https://www.afmc.af.mil/News/Article-Display/Article/3568111/first-international-crada-between-afrl-indian-startups-ignites-strategic-collab/,https://www.spaceforce.mil/News/Article-Display/Article/3561836/,
114AI-UK MOD Contract 2020,114AI Spacewise Contract 2020,AS,New,SDA & Combat Power,Space Domain Awareness,2020,Transactions,High,Transaction,B2G,Military,6.0,,USINDOPACOM,India,Industry,,114AI,USNORTHCOM,United States,Government,UK Ministry of Defense (UK MOD),,https://economictimes.indiatimes.com/tech/startups/indian-tech-startup-114-ai-innovation-bags-uk-us-space-contract/articleshow/79304618.cms?from=mdr,,
114AI-US Space Force Contract 2020,114AI Spacewise Contract 2020,AS,New,SDA & Combat Power,Space Domain Awareness,2020,Transactions,High,Transaction,B2G,Military,6.0,,USINDOPACOM,India,Industry,,114AI,USNORTHCOM,United States,Government,United States Space Force,,https://economictimes.indiatimes.com/tech/startups/indian-tech-startup-114-ai-innovation-bags-uk-us-space-contract/articleshow/79304618.cms?from=mdr,,
3IPK - ESA FutureEO Program Funding 2023,3IPK - ESA FutureEO Program Funding 2023,DS,New,Space Sensing,ISR & Remote Sensing,2023,Transactions,Low,Transaction,B2G,Civil,3.0,,USEUCOM,Slovakia,Industry,,3IPK,USEUCOM,European Union,Government,European Space Agency (ESA),,https://www.thalesaleniaspace.com/en/press-releases/startup-3ipk-and-thales-alenia-space-support-european-space-agency-traceability,,
3rd ITECH-AFRL SDA Technology Collaboration 2023,3rd ITECH-AFRL SDA Technology Collaboration 2023,AS,New,SDA & Combat Power,Space Domain Awareness,2023,Co-Production,Low,,B2G,Commercial,6.0,,USINDOPACOM,India,Industry,,3rd ITECH,USNORTHCOM,United States,Government,Air Force Research Laboratory (AFRL),,https://www.afmc.af.mil/News/Article-Display/Article/3568111/first-international-crada-between-afrl-indian-startups-ignites-strategic-collab/,https://www.spaceforce.mil/News/Article-Display/Article/3561836/,
3vGeomatics-Airbus partnership,3vGeomatics-Airbus partnership,,Legacy,Space Sensing,ISR & Remote Sensing,2016,Data and Intel Sharing,Low,Cooperative,B2B,Commercial,4.0,,USNORTHCOM,Canada,Industry,,3vGeomatics,USEUCOM,France,Industry,,Airbus-France,http://gogeomatics.ca/airbus-defense-and-space-signs-deal-with-vancouvers-3v-geomatics/,,
6Roads-GMV Eumetsat Partnership,6Roads-GMV Eumetsat Partnership,,,SDA & Combat Power,Space Domain Awareness,2022,Transactions,Low,Transaction,B2B,Civil,2.0,,USEUCOM,Poland,Industry,,6Roads,USEUCOM,Germany,Industry,,GMV-Germany,https://www.gmv.com/en/communication/press-room/press-releases/operational-optical-data-services-meteosat-satellites,,
6Roads-University of Western Australia SDA Partnership,6Roads-University of Western Australia SDA Partnership,,Legacy,SDA & Combat Power,Space Domain Awareness,2021,Cooperative RDT&E,Low,Cooperative,B2B,Multi-Use,5.0,,USEUCOM,Poland,Industry,Polish Space Agency (POLSA),6Roads,USINDOPACOM,Australia,Industry,,University of Western Australia,https://polishscience.pl/en/polish-companies-to-launch-polish-australian-space-project/,,
AAC Clyde Space-ESA ARTES Award,AAC Clyde Space-ESA ARTES Award,,Legacy,SATCOM & PNT,SATCOM & Data Transport,2022,Transactions,Low,Transaction,B2G,Civil,3.0,,USEUCOM,United Kingdom,Industry,,AAC Clyde Space-UK,USEUCOM,European Union,Government,European Space Agency (ESA),,https://news.satnews.com/2022/07/28/aac-clyde-spaces-5-1-msek-esa-funding-to-develop-power-system/,,
